,gid,X,id.s,V2,V3,V4,V5,V6,V7,V8,V9,V10,sname,gc,quota,term,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q11,Q12,Q13,Q14,LocationLatitude,LocationLongitude,LocationAccuracy,Survey,GID,Age,Gender
29,200039,29,R_7POPx8mRRyjOrMF,Default Response Set,Anonymous,NA,NA,24.42.86.43,0,6/11/2015 0:00,6/11/2015 20:52,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,6,1,2,1,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7,1,1,40.76649475,-73.82700348,-1,1334124-US,200039,43,Female
30,200040,30,R_ea1wFCho4Q7C3Dn,Default Response Set,Anonymous,NA,NA,204.93.122.141,0,6/11/2015 0:00,6/11/2015 20:53,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,4,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,42,7,1,1,35.1289978,-85.38410187,-1,1334124-US,200040,37,Female
31,200041,31,R_2t6tI31Ec0gcYMB,Default Response Set,Anonymous,NA,NA,208.114.72.141,0,6/11/2015 0:00,6/11/2015 21:06,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,1,1,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,50,7,1,1,43.05999756,-105.2959976,-1,1334124-US,200041,46,Female
32,200042,32,R_1BS7y29Eu0DoWpL,Default Response Set,Anonymous,NA,NA,23.27.45.14,0,6/11/2015 0:00,6/11/2015 20:58,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,6,2,1,1,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,1,37.33380127,-121.8914948,-1,1334124-US,200042,27,Male
33,200043,33,R_82EYBps0m4pg78V,Default Response Set,Anonymous,NA,NA,96.40.133.95,0,6/11/2015 0:00,6/11/2015 20:59,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,6,2,1,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,7,1,1,34.05140686,-118.1455994,-1,1334124-US,200043,45,Male
34,200044,34,R_3vXEKzB7OmaDz0x,Default Response Set,Anonymous,NA,NA,162.243.174.167,0,6/11/2015 0:00,6/11/2015 21:28,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,6,1,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,32,4,1,1,40.71429443,-74.0059967,-1,1334124-US,200044,33,Male
35,200045,35,R_9WFfdj2eOcWzqCN,Default Response Set,Anonymous,NA,NA,64.58.183.230,0,6/11/2015 0:00,6/11/2015 21:10,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,3,1,1,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,1,33.61990356,-117.6119003,-1,1334124-US,200045,27,Male
36,200046,36,R_0CUm6gSzgSe9JpX,Default Response Set,Anonymous,NA,NA,24.145.88.73,0,6/11/2015 0:00,6/11/2015 21:29,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38,7,1,1,41.90879822,-78.70629883,-1,1334124-US,200046,39,Female
37,200048,37,R_eCWW6Qs4iHLUw29,Default Response Set,Anonymous,NA,NA,67.55.133.91,0,6/11/2015 0:00,6/11/2015 21:43,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,5,1,2,6,1,1,2,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15,7,1,1,42.31199646,-93.44660187,-1,1334124-US,200048,57,Male
38,200051,38,R_5mx1lUhYaJERfql,Default Response Set,Anonymous,NA,NA,50.82.128.169,0,6/11/2015 0:00,6/11/2015 21:43,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,3,1,2,6,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,13,7,1,1,41.40190125,-88.87840271,-1,1334124-US,200051,34,Male
39,200052,39,R_29ITZmnjccpvFJP,Default Response Set,Anonymous,NA,NA,67.242.36.167,0,6/11/2015 0:00,6/11/2015 21:43,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,3,1,2,6,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7,1,1,42.91290283,-76.56590271,-1,1334124-US,200052,46,Male
40,200053,40,R_bBDPT0dpV4AxmqV,Default Response Set,Anonymous,NA,NA,73.50.100.149,0,6/11/2015 0:00,6/11/2015 21:45,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,2,1,2,3,1,1,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,7,1,1,42.03819275,-87.72850037,-1,1334124-US,200053,55,Female
41,200054,41,R_3dDx0JnRxfJOQXr,Default Response Set,Anonymous,NA,NA,66.87.98.250,0,6/11/2015 0:00,6/11/2015 21:52,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,43,7,1,1,32.78309631,-96.80670166,-1,1334124-US,200054,30,Male
42,200055,42,R_7OERjBB3x6C9KHr,Default Response Set,Anonymous,NA,NA,75.31.85.101,0,6/11/2015 0:00,6/11/2015 21:46,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,4,1,2,6,1,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,7,1,1,29.86880493,-95.53800201,-1,1334124-US,200055,60,Female
43,200057,43,R_dnAejoV7kTy1xtj,Default Response Set,Anonymous,NA,NA,99.38.186.92,0,6/11/2015 0:00,6/11/2015 21:50,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,2,2,2,3,1,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,1,33.93479919,-81.14440155,-1,1334124-US,200057,25,Female
44,200058,44,R_5tZvdtKub8CCRmZ,Default Response Set,Anonymous,NA,NA,173.48.188.88,0,6/11/2015 0:00,6/11/2015 22:36,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,5,2,1,3,2,3,1,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,1,1,42.47329712,-70.94190216,-1,1334124-US,200058,45,Male
45,200059,45,R_3vNCIqcOBUQ8AXX,Default Response Set,Anonymous,NA,NA,104.231.198.76,0,6/11/2015 0:00,6/11/2015 22:38,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,5,1,2,4,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,7,1,1,42.88859558,-88.33300018,-1,1334124-US,200059,40,Male
46,200060,46,R_cCr3cyJ2UdcrOu1,Default Response Set,Anonymous,NA,NA,173.59.59.78,0,6/11/2015 0:00,6/11/2015 22:41,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,7,1,1,40.06359863,-75.07969666,-1,1334124-US,200060,22,Male
47,200063,47,R_7P8ELZlOdHNnRhH,Default Response Set,Anonymous,NA,NA,50.168.210.7,0,6/11/2015 0:00,6/11/2015 23:09,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,3,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,44,7,1,1,41.18280029,-111.9150009,-1,1334124-US,200063,21,Female
48,200064,48,R_bgBOgpM9J8HhY69,Default Response Set,Anonymous,NA,NA,50.141.24.126,0,6/11/2015 0:00,6/11/2015 23:17,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,3,2,1,6,2,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,1,1,34.74490356,-92.32050323,-1,1334124-US,200064,31,Male
49,200065,49,R_5ywSBNAslp7AmLH,Default Response Set,Anonymous,NA,NA,50.137.175.33,0,6/12/2015 0:00,6/12/2015 0:42,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,4,2,2,5,2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,37,7,1,1,44.10270691,-123.1341019,-1,1334124-US,200065,60,Male
50,200066,50,R_0IYHa7giT9Tl6EB,Default Response Set,Anonymous,NA,NA,76.88.34.198,0,6/12/2015 0:00,6/12/2015 0:42,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,5,2,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,1,1,32.95700073,-117.1978989,-1,1334124-US,200066,55,Male
51,200067,51,R_1H2Cew2dKuSnXqR,Default Response Set,Anonymous,NA,NA,66.8.136.112,0,6/12/2015 0:00,6/12/2015 0:46,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,6,2,2,3,1,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,11,4,1,1,19.71080017,-155.8739929,-1,1334124-US,200067,58,Male
52,200068,52,R_50883Mdz3XBPV3v,Default Response Set,Anonymous,NA,NA,209.190.12.114,0,6/12/2015 0:00,6/12/2015 1:00,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,4,1,2,7,2,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,7,1,1,33.67480469,-111.9518967,-1,1334124-US,200068,40,Male
53,200070,53,R_0OZEqqYtQ7PR4BD,Default Response Set,Anonymous,NA,NA,184.98.1.121,0,6/12/2015 0:00,6/12/2015 0:55,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,3,1,2,6,1,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,1,1,33.44030762,-111.8536987,-1,1334124-US,200070,55,Male
54,200071,54,R_0e4Rt4XE4MNWMCx,Default Response Set,Anonymous,NA,NA,184.97.123.109,0,6/12/2015 0:00,6/12/2015 0:58,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,2,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,47,7,1,1,47.66889954,-117.4369049,-1,1334124-US,200071,57,Female
55,200072,55,R_9Ta94J12dSIfAB7,Default Response Set,Anonymous,NA,NA,50.186.14.45,0,6/12/2015 0:00,6/12/2015 1:00,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,3,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,37,7,1,1,43.92919922,-123.0867004,-1,1334124-US,200072,55,Female
56,200073,56,R_e9h3jaXnAEeDYGh,Default Response Set,Anonymous,NA,NA,73.45.103.203,0,6/12/2015 0:00,6/12/2015 1:02,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,3,1,2,7,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,7,1,1,41.8032074,-88.13410187,-1,1334124-US,200073,56,Female
57,200074,57,R_4NoQJ1wqqZqKjwV,Default Response Set,Anonymous,NA,NA,65.25.32.193,0,6/12/2015 0:00,6/12/2015 1:05,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,3,6,2,1,5,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,35,7,1,1,41.04490662,-82.0161972,-1,1334124-US,200074,62,Male
58,200075,58,R_0iXoMah7QT7UB5X,Default Response Set,Anonymous,NA,NA,107.211.165.24,0,6/12/2015 0:00,6/12/2015 1:03,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,2,2,2,1,2,3,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,1,1,31.813797,-106.4681015,-1,1334124-US,200075,23,Female
59,200077,59,R_bydRYwYXwOCg7NX,Default Response Set,Anonymous,NA,NA,104.62.173.11,0,6/12/2015 0:00,6/12/2015 1:24,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,2,4,2,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,9,7,1,1,28.58979797,-81.49279785,-1,1334124-US,200077,20,Female
60,200078,60,R_d7qM141L84PkkTz,Default Response Set,Anonymous,NA,NA,71.127.163.228,0,6/12/2015 0:00,6/12/2015 1:40,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,4,6,2,1,5,2,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,3,1,1,43.05099487,-76.17690277,-1,1334124-US,200078,56,Female
61,200079,61,R_2lvevAvWlBRX5tz,Default Response Set,Anonymous,NA,NA,71.156.49.167,0,6/12/2015 0:00,6/12/2015 1:38,1,dNStEkVhRE_e7TBrT8_Gwcw9fzM,1,NA,NA,1,1,5,1,2,3,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,1,34.02909851,-118.3992996,-1,1334124-US,200079,33,Female
