"Pref"	"Complex"
"204"	16	21
"205"	7	21
"206"	23	26
"207"	15	18
"208"	13	12
"209"	28	24
"210"	16	18
"211"	16	26
"212"	15	10
"213"	19	14
"214"	21	24
"215"	17	15
"216"	18	15
"217"	12	13
"218"	18	21
"219"	14	14
"220"	11	19
"221"	2	29
"222"	12	23
"223"	16	23
"224"	14	8
"225"	17	8
"226"	24	22
"227"	26	14
"228"	13	16
"229"	20	16
"230"	10	13
"231"	9	18
"232"	7	29
"233"	13	20
"234"	15	17
"235"	16	26
"236"	17	10
"237"	12	20
"238"	25	21
"239"	10	12
"240"	22	26
"241"	9	19
"242"	19	16
"243"	15	24
"244"	15	19
"245"	19	25
"246"	17	14
"247"	6	19
"248"	17	17
"249"	20	19
"250"	9	0
"251"	16	17
"252"	16	11
"253"	12	13
"254"	11	14
"255"	19	18
"256"	8	18
"257"	17	21
"258"	18	18
"259"	18	27
"260"	11	21
"261"	8	13
"262"	20	9
"263"	13	16
"264"	20	24
"265"	12	11
"266"	5	14
"267"	17	20
"268"	15	15
"269"	19	24
"270"	20	25
"271"	13	19
"272"	20	29
"273"	22	16
"274"	8	10
"275"	24	28
"276"	17	15
"277"	16	30
"278"	12	15
"279"	16	16
"280"	21	18
"281"	25	18
"282"	20	21
"283"	15	13
"284"	12	26
"285"	11	13
"286"	18	24
"287"	10	24
"288"	15	19
"289"	14	17
"290"	11	16
"291"	19	21
"292"	22	10
"293"	17	19
"294"	8	21
"295"	19	18
"296"	17	17
"297"	14	16
"298"	17	22
"299"	19	15
"300"	15	23
"301"	25	19
"302"	11	17
"303"	23	22
"304"	17	19
"305"	11	17
"306"	12	21
"307"	15	20
"308"	16	16
"309"	11	9
"310"	14	16
"311"	19	19
"312"	24	27
"313"	6	14
"314"	10	22
"315"	18	20
"316"	18	12
"317"	17	22
"318"	18	24
"319"	11	9
"320"	13	24
"321"	13	8
"322"	17	22
"323"	16	25
"324"	13	20
"325"	24	14
"326"	10	20
"327"	16	13
"328"	12	20
"329"	11	15
"330"	12	12
"331"	4	19
"332"	21	21
"333"	13	22
"334"	12	21
"335"	25	18
"336"	21	23
"337"	6	11
"338"	9	20
"339"	17	21
"340"	9	11
"341"	25	22
"342"	16	25
"343"	11	31
"344"	10	11
"345"	19	20
"346"	18	21
"347"	20	30
"348"	15	26
"349"	19	17
"350"	19	16
"351"	23	18
"352"	9	10
"353"	15	12
"354"	15	21
"355"	20	29
"356"	17	21
"357"	13	25
"358"	20	24
"359"	14	17
"360"	8	14
"361"	11	16
"362"	18	10
"363"	17	24
"364"	24	22
"365"	23	17
"366"	21	15
"367"	16	23
"368"	5	30
"369"	10	22
"370"	17	27
"371"	18	19
"372"	15	17
"373"	25	29
"374"	18	26
"375"	15	20
"376"	20	19
"377"	18	16
"378"	7	14
"379"	15	21
"380"	12	22
"381"	10	22
"382"	18	19
"383"	10	5
"384"	18	18
"385"	19	21
"386"	16	28
"387"	16	24
"388"	27	14
"389"	16	23
"390"	7	21
"391"	6	23
"392"	18	17
"393"	8	25
"394"	17	13
"395"	16	10
"396"	11	23
"397"	16	21
"398"	11	14
"399"	18	25
"400"	19	21
"401"	14	15
"402"	22	26
"403"	23	22
"404"	20	17
"405"	17	20
"406"	8	24
"407"	20	21
"408"	11	24
"409"	21	18
"410"	23	19
"411"	15	18
"412"	18	21
"413"	7	14
"414"	19	20
"415"	19	12
"416"	14	25
"417"	24	18
"418"	17	15
"419"	14	19
"420"	11	24
"421"	20	14
"422"	20	17
"423"	6	15
"424"	7	24
"425"	16	32
"426"	16	23
"427"	24	13
"428"	21	19
"429"	21	18
"430"	11	20
"431"	8	30
"432"	25	16
"433"	19	25
"434"	14	28
"435"	16	17
"436"	21	25
"437"	18	23
"438"	13	15
"439"	16	25
"440"	19	20
"441"	16	27
"442"	16	32
"443"	8	17
"444"	14	21
"445"	20	20
"446"	24	27
"447"	14	21
"448"	2	12
"449"	17	15
"450"	14	21
"451"	15	15
"452"	15	17
"453"	12	20
"454"	12	29
"455"	20	21
"456"	26	10
"457"	25	24
"458"	15	10
"459"	18	20
"460"	20	17
"461"	17	25
"462"	17	25
"463"	12	14
"464"	7	18
"465"	13	17
"466"	12	11
"467"	11	13
"468"	17	22
"469"	17	22
"470"	16	19
"471"	9	28
"472"	15	15
"473"	11	9
"474"	23	18
"475"	17	14
"476"	16	11
"477"	29	20
"478"	9	18
"479"	25	21
"480"	14	20
"481"	20	13
"482"	16	10
"483"	15	17
"484"	11	21
"485"	25	19
"486"	15	23
"487"	22	24
"488"	3	20
"489"	9	20
"490"	13	15
"491"	14	26
"492"	7	27
"493"	12	27
"494"	20	17
"495"	22	22
"496"	9	28
"497"	17	26
"498"	9	15
"499"	8	17
"500"	17	25
"501"	15	22
"502"	19	23
"503"	16	15
"504"	18	13
"505"	19	24
"506"	15	18
"507"	20	24
"508"	11	25
"509"	16	14
"510"	5	9
"511"	21	32
"512"	19	28
"513"	13	22
"514"	14	19
"515"	19	21
"516"	17	19
"517"	21	18
"518"	16	26
"519"	21	21
"520"	11	18
"521"	21	25
"522"	11	21
"523"	11	16
"524"	20	21
"525"	27	22
"526"	19	13
"527"	18	21
"528"	19	17
"529"	12	14
"530"	20	23
"531"	16	26
"532"	14	18
"533"	14	19
"534"	13	15
"535"	10	12
"536"	8	25
"537"	13	25
"538"	9	9
"539"	15	16
"540"	19	19
"541"	19	24
"542"	14	26
"543"	18	16
"544"	2	16
"545"	14	28
"546"	12	17
"547"	17	19
"548"	12	20
"549"	24	26
"550"	17	21
"551"	12	8
"552"	19	23
"553"	17	19
"554"	19	13
"555"	18	19
"556"	27	26
"557"	16	22
"558"	25	15
"559"	15	8
"560"	13	17
"561"	19	28
"562"	22	9
"563"	21	21
"564"	14	7
"565"	23	17
"566"	14	23
"567"	17	17
"568"	15	15
"569"	18	21
"570"	14	10
"571"	21	26
"572"	16	20
"573"	1	18
"574"	17	23
"575"	10	31
"576"	19	24
"577"	25	14
"578"	27	15
"579"	18	12
"580"	15	30
"581"	11	18
"582"	15	24
"583"	13	22
"584"	18	18
"585"	21	19
"586"	17	19
"587"	12	26
"588"	15	21
"589"	19	17
"590"	21	13
"591"	23	24
"592"	10	23
"593"	16	18
"594"	17	16
"595"	9	5
"596"	16	21
"597"	14	23
"598"	15	18
"599"	12	22
"600"	16	18
"601"	18	20
"602"	24	24
"603"	18	15
"604"	20	27
"605"	16	28
"606"	15	22
"607"	15	18
"608"	20	22
"609"	16	15
"610"	16	20
"611"	23	18
"612"	12	23
"613"	16	23
"614"	19	23
"615"	16	15
"616"	15	22
"617"	12	33
"618"	9	21
"619"	22	14
"620"	12	25
"621"	11	22
"622"	19	23
"623"	9	18
"624"	16	17
"625"	21	16
"626"	9	32
"627"	17	12
"628"	17	18
"629"	15	17
"630"	10	32
"631"	10	14
"632"	14	21
"633"	17	19
"634"	20	14
"635"	13	17
"636"	11	21
"637"	11	22
"638"	18	27
"639"	18	25
"640"	16	26
"641"	5	28
"642"	18	19
"643"	9	17
"644"	9	25
"645"	18	27
"646"	19	17
"647"	13	10
"648"	20	13
"649"	12	9
"650"	22	26
"651"	10	21
"652"	18	24
"653"	7	11
"654"	14	18
"655"	17	16
"656"	28	18
"657"	13	17
"658"	21	16
"659"	13	22
"660"	9	18
"661"	19	18
"662"	15	23
"663"	12	17
"664"	23	24
"665"	16	26
"666"	12	30
"667"	17	20
"668"	11	16
"669"	17	12
"670"	18	19
"671"	15	13
"672"	8	20
"673"	18	20
"674"	18	15
"675"	18	12
"676"	11	14
"677"	12	14
"678"	17	18
"679"	6	14
"680"	18	12
"681"	13	9
"682"	18	23
"683"	17	18
"684"	22	13
"685"	6	15
"686"	19	27
"687"	25	19
"688"	22	25
"689"	15	22
"690"	22	18
"691"	13	18
"692"	14	19
"693"	15	22
"694"	14	18
"695"	27	18
"696"	13	20
"697"	7	17
"698"	14	18
"699"	19	19
"700"	12	12
"701"	15	17
"702"	9	14
"703"	18	27
"704"	17	22
"705"	23	21
"706"	18	20
"707"	14	21
"708"	19	17
"709"	14	25
"710"	12	19
"711"	15	15
"712"	20	20
"713"	9	10
"714"	22	23
"715"	13	18
"716"	20	25
"717"	21	19
"718"	14	27
"719"	19	26
"720"	20	21
"721"	13	17
"722"	5	14
"723"	11	19
"724"	9	23
"725"	3	19
"726"	22	17
"727"	21	23
"728"	17	11
"729"	25	17
"730"	13	17
"731"	17	13
"732"	17	21
"733"	16	22
"734"	13	13
"735"	11	21
"736"	15	19
"737"	10	16
"738"	14	28
"739"	16	16
"740"	21	26
"741"	14	12
"742"	8	25
"743"	9	18
"744"	12	18
"745"	6	15
"746"	14	20
"747"	17	25
"748"	17	24
"749"	11	19
"750"	13	18
"751"	13	20
"752"	4	24
"753"	18	24
"754"	22	23
"755"	15	11
"756"	16	23
"757"	20	19
"758"	17	20
"759"	14	20
"760"	14	16
"761"	12	22
"762"	23	26
"763"	19	19
"764"	25	15
"765"	14	20
"766"	19	23
"767"	8	10
"768"	18	9
"769"	16	22
"770"	9	20
"771"	10	23
"772"	24	24
"773"	14	12
"774"	10	19
"775"	15	25
"776"	18	25
"777"	14	22
"778"	26	19
"779"	25	17
"780"	21	19
"781"	22	20
"782"	8	18
"783"	20	23
"784"	13	19
"785"	12	16
"786"	18	23
"787"	18	21
"788"	15	30
"789"	14	17
"790"	16	12
"791"	27	19
"792"	12	17
"793"	16	22
"794"	9	14
"795"	20	19
"796"	15	29
"797"	18	24
"798"	20	27
"799"	18	15
"800"	25	16
"801"	16	19
"802"	17	14
"803"	20	21
"804"	17	22
"805"	5	23
"806"	25	19
"807"	7	14
"808"	25	21
"809"	20	15
"810"	22	30
"811"	18	22
"812"	12	18
"813"	15	24
"814"	14	17
"815"	21	19
"816"	14	24
"817"	15	25
"818"	14	20
"819"	16	17
"820"	7	17
"821"	10	19
"822"	14	24
"823"	10	8
"824"	19	13
"825"	24	22
"826"	10	12
"827"	17	25
"828"	12	11
"829"	13	11
"830"	13	22
"831"	13	25
"832"	16	21
"833"	8	11
"834"	18	28
"835"	9	18
"836"	23	19
"837"	18	25
"838"	15	23
"839"	15	17
"840"	16	25
"841"	5	22
"842"	16	18
"843"	16	16
"844"	5	16
"845"	15	23
"846"	6	28
"847"	11	22
"848"	15	15
"849"	20	13
"850"	18	23
"851"	23	20
"852"	24	30
"853"	14	18
"854"	14	21
"855"	16	22
"856"	20	14
"857"	19	16
"858"	16	18
"859"	16	20
"860"	14	14
"861"	17	15
"862"	16	13
"863"	8	24
"864"	14	17
"865"	10	29
"866"	16	22
"867"	15	21
"868"	19	17
"869"	18	25
"870"	16	25
"871"	15	24
"872"	7	24
"873"	11	28
