"id" "heduc" "heblack" "mixed" "years" "div"
"149" 590 "12-15 years" "No" "No" 21.4669990539551 "No"
"150" 592 "16+ years" "No" "No" 21.0020008087158 "Yes"
"151" 600 "12-15 years" "No" "No" 21.4669990539551 "No"
"152" 602 "< 12 years" "No" "No" 24.8320007324219 "No"
"153" 604 "< 12 years" "No" "No" 41.9990005493164 "No"
"154" 606 "< 12 years" "No" "No" 16.9720001220703 "No"
"155" 607 "12-15 years" "Yes" "No" 14.8669996261597 "No"
"156" 613 "12-15 years" "Yes" "No" 7.16750001907349 "Yes"
"157" 615 "< 12 years" "Yes" "No" 21.4979991912842 "Yes"
"158" 616 "12-15 years" "Yes" "No" 7.16750001907349 "Yes"
"159" 620 "12-15 years" "No" "No" 13.4209995269775 "No"
"160" 628 "12-15 years" "No" "No" 15.8489999771118 "No"
"161" 638 "12-15 years" "No" "No" 19.4249992370605 "No"
"162" 676 "16+ years" "No" "No" 9.33600044250488 "Yes"
"163" 684 "16+ years" "No" "No" 10.5869998931885 "Yes"
"164" 686 "< 12 years" "No" "No" 8.66800022125244 "Yes"
"165" 688 "< 12 years" "No" "No" 34.0040016174316 "No"
"166" 690 "< 12 years" "No" "No" 31.9969997406006 "No"
"167" 693 "12-15 years" "No" "No" 9.58250045776367 "Yes"
"168" 700 "12-15 years" "No" "No" 48.4599990844727 "No"
"169" 702 "12-15 years" "No" "No" 12.5270004272461 "Yes"
"170" 705 "12-15 years" "No" "No" 20.2520008087158 "No"
"171" 713 "12-15 years" "No" "No" 5.0019998550415 "Yes"
"172" 716 "16+ years" "No" "No" 4.49550008773804 "Yes"
"173" 718 "12-15 years" "No" "No" 6.77600002288818 "Yes"
"174" 720 "12-15 years" "No" "No" 12 "No"
"175" 721 "12-15 years" "No" "No" 13.5795001983643 "Yes"
"176" 725 "12-15 years" "No" "No" 11.2910003662109 "Yes"
"177" 728 "< 12 years" "No" "No" 40.6020011901855 "No"
"178" 730 "< 12 years" "No" "No" 54.4119987487793 "No"
"179" 734 "12-15 years" "No" "No" 9.5629997253418 "No"
"180" 740 "12-15 years" "No" "No" 7.90100002288818 "No"
"181" 748 "16+ years" "No" "No" 24.0300006866455 "No"
"182" 751 "16+ years" "No" "No" 7.90100002288818 "No"
"183" 753 "< 12 years" "No" "No" 43.685001373291 "No"
"184" 756 "< 12 years" "No" "No" 43.685001373291 "No"
"185" 759 "12-15 years" "No" "No" 29.3659992218018 "No"
"186" 763 "12-15 years" "No" "No" 2.55399990081787 "No"
"187" 769 "12-15 years" "No" "No" 4.66800022125244 "Yes"
"188" 771 "12-15 years" "No" "No" 4.95849990844727 "Yes"
"189" 774 "12-15 years" "No" "No" 2.55399990081787 "No"
"190" 780 "12-15 years" "No" "No" 4.73649978637695 "Yes"
"191" 786 "12-15 years" "No" "No" 1.62399995326996 "No"
"192" 789 "16+ years" "No" "No" 42.9189987182617 "No"
"193" 791 "< 12 years" "No" "No" 14.9720001220703 "Yes"
"194" 794 "12-15 years" "No" "No" 3.74799990653992 "Yes"
"195" 798 "12-15 years" "No" "No" 1.10599994659424 "No"
"196" 807 "12-15 years" "No" "No" 2.66950011253357 "Yes"
"197" 809 "< 12 years" "No" "No" 34.9980010986328 "No"
"198" 811 "< 12 years" "No" "No" 34.0750007629395 "Yes"
"199" 814 "12-15 years" "Yes" "No" 20.9990005493164 "No"
"200" 818 "< 12 years" "No" "No" 46.9790000915527 "No"
"201" 820 "16+ years" "No" "No" 28.7749996185303 "No"
"202" 823 "12-15 years" "No" "No" 61.4070014953613 "No"
"203" 829 "< 12 years" "No" "No" 2.99799990653992 "No"
"204" 831 "16+ years" "No" "No" 22.4750003814697 "No"
"205" 840 "16+ years" "No" "No" 10.7430000305176 "No"
"206" 842 "< 12 years" "No" "No" 35.3349990844727 "No"
"207" 844 "12-15 years" "No" "No" 32.1749992370605 "No"
"208" 846 "< 12 years" "No" "No" 38.148998260498 "No"
"209" 852 "12-15 years" "No" "No" 11.2524995803833 "Yes"
"210" 856 "< 12 years" "No" "No" 1.33350002765656 "Yes"
"211" 859 "< 12 years" "No" "No" 55.8330001831055 "No"
"212" 863 "< 12 years" "No" "No" 41.1640014648438 "No"
"213" 868 "< 12 years" "No" "No" 37.060001373291 "No"
"214" 872 "< 12 years" "No" "No" 4.90049982070923 "Yes"
"215" 875 "12-15 years" "No" "No" 28.738000869751 "Yes"
"216" 877 "12-15 years" "No" "No" 1.23199999332428 "Yes"
"217" 880 "16+ years" "No" "No" 29.6340007781982 "No"
"218" 883 "< 12 years" "No" "No" 13.9989995956421 "No"
"219" 885 "12-15 years" "No" "No" 38.3240013122559 "No"
"220" 887 "16+ years" "No" "No" 5.54099988937378 "No"
"221" 895 "16+ years" "No" "No" 37.2680015563965 "No"
"222" 900 "< 12 years" "Yes" "No" 53.4589996337891 "No"
"223" 902 "< 12 years" "Yes" "No" 30.9599990844727 "No"
"224" 904 "< 12 years" "No" "No" 7.00099992752075 "No"
"225" 912 "< 12 years" "No" "No" 46.0999984741211 "No"
"226" 915 "12-15 years" "No" "No" 54.7900009155273 "No"
"227" 917 "16+ years" "No" "No" 30.0009994506836 "No"
"228" 919 "16+ years" "No" "No" 36.2519989013672 "No"
"229" 926 "< 12 years" "Yes" "No" 24.9990005493164 "No"
"230" 929 "< 12 years" "No" "No" 32 "No"
"231" 931 "< 12 years" "No" "No" 25.9990005493164 "No"
"232" 936 "12-15 years" "Yes" "No" 9.42099952697754 "Yes"
"233" 937 "12-15 years" "No" "Yes" 8.78299999237061 "No"
"234" 940 "12-15 years" "No" "No" 40.2519989013672 "No"
"235" 942 "< 12 years" "No" "No" 6.875 "Yes"
"236" 947 "16+ years" "No" "No" 13.5880002975464 "Yes"
"237" 952 "12-15 years" "No" "No" 21.7360000610352 "No"
"238" 957 "12-15 years" "No" "No" 13.0570001602173 "No"
"239" 960 "< 12 years" "No" "No" 35.0279998779297 "No"
"240" 963 "< 12 years" "Yes" "No" 24.2600002288818 "No"
"241" 964 "< 12 years" "Yes" "No" 22.0149993896484 "No"
"242" 971 "< 12 years" "No" "No" 34.5709991455078 "No"
"243" 973 "< 12 years" "No" "No" 22.9979991912842 "No"
"244" 976 "16+ years" "No" "No" 46.8230018615723 "No"
"245" 979 "12-15 years" "No" "No" 47.1699981689453 "No"
"246" 982 "12-15 years" "No" "No" 20.0930004119873 "No"
"247" 986 "12-15 years" "No" "No" 12.8870000839233 "No"
"248" 987 "12-15 years" "No" "No" 12.8870000839233 "No"
"249" 989 "< 12 years" "No" "No" 32.1669998168945 "No"
"250" 991 "< 12 years" "No" "No" 52.6710014343262 "No"
"251" 996 "16+ years" "No" "No" 20.6650009155273 "No"
"252" 1002 "16+ years" "No" "No" 18.7600002288818 "No"
"253" 1005 "16+ years" "No" "No" 18.7600002288818 "No"
"254" 1008 "12-15 years" "No" "No" 10.5869998931885 "Yes"
"255" 1010 "16+ years" "No" "No" 7.67150020599365 "Yes"
"256" 1012 "16+ years" "No" "No" 25.0729999542236 "No"
"257" 1015 "16+ years" "No" "No" 30.7730007171631 "No"
"258" 1021 "< 12 years" "No" "No" 0.879000008106232 "No"
"259" 1024 "12-15 years" "No" "No" 1.00199997425079 "No"
"260" 1031 "12-15 years" "No" "No" 48.8019981384277 "No"
"261" 1053 "12-15 years" "No" "No" 3.66899991035461 "No"
"262" 1056 "16+ years" "No" "No" 23.0009994506836 "No"
"263" 1060 "< 12 years" "No" "No" 48.4129981994629 "No"
"264" 1061 "16+ years" "No" "No" 14.5109996795654 "No"
"265" 1063 "< 12 years" "No" "No" 49.9160003662109 "No"
"266" 1066 "12-15 years" "No" "No" 60.5040016174316 "No"
"267" 1068 "< 12 years" "No" "No" 21.9314994812012 "Yes"
"268" 1069 "12-15 years" "No" "No" 4.48199987411499 "No"
"269" 1074 "< 12 years" "No" "No" 55.5810012817383 "No"
"270" 1076 "12-15 years" "No" "No" 42.5820007324219 "No"
"271" 1077 "16+ years" "No" "No" 26.6040000915527 "No"
"272" 1079 "12-15 years" "No" "No" 36.3009986877441 "Yes"
"273" 1084 "12-15 years" "No" "No" 8 "Yes"
"274" 1087 "12-15 years" "No" "No" 32.6679992675781 "No"
"275" 1089 "< 12 years" "No" "No" 20.9990005493164 "No"
"276" 1091 "< 12 years" "No" "No" 57.048999786377 "No"
"277" 1098 "12-15 years" "No" "No" 2.08349990844727 "Yes"
"278" 1099 "12-15 years" "No" "No" 9.01599979400635 "No"
"279" 1101 "< 12 years" "No" "No" 44 "No"
"280" 1110 "< 12 years" "No" "No" 55.4959983825684 "No"
"281" 1112 "< 12 years" "No" "No" 61.8320007324219 "No"
"282" 1115 "< 12 years" "No" "No" 17.1690006256104 "Yes"
"283" 1121 "< 12 years" "No" "No" 14.7954998016357 "Yes"
"284" 1127 "12-15 years" "No" "No" 10.6695003509521 "Yes"
"285" 1131 "12-15 years" "No" "No" 3.30999994277954 "Yes"
"286" 1133 "12-15 years" "No" "No" 7.43450021743774 "Yes"
"287" 1134 "12-15 years" "No" "No" 18.7569999694824 "Yes"
"288" 1137 "12-15 years" "No" "No" 3.88800001144409 "No"
"289" 1139 "16+ years" "No" "No" 21.7465000152588 "Yes"
"290" 1143 "< 12 years" "No" "No" 3.42499995231628 "No"
"291" 1145 "12-15 years" "No" "No" 10.8719997406006 "Yes"
"292" 1149 "12-15 years" "No" "No" 27.9699993133545 "No"
"293" 1151 "12-15 years" "No" "No" 14.0124998092651 "Yes"
"294" 1153 "12-15 years" "Yes" "No" 21.0044994354248 "Yes"
"295" 1155 "16+ years" "No" "No" 4.48999977111816 "No"
"296" 1160 "12-15 years" "No" "No" 10.6529998779297 "No"
"297" 1161 "12-15 years" "No" "No" 10.6529998779297 "No"
"298" 1164 "12-15 years" "No" "No" 59.9480018615723 "No"
"299" 1166 "16+ years" "No" "No" 9.01049995422363 "Yes"
"300" 1169 "16+ years" "No" "No" 8.99899959564209 "Yes"
"301" 1172 "< 12 years" "No" "No" 49.3499984741211 "No"
"302" 1174 "< 12 years" "No" "No" 56.101001739502 "No"
"303" 1176 "< 12 years" "No" "No" 14.0120000839233 "No"
"304" 1178 "< 12 years" "No" "No" 22.9820003509521 "No"
"305" 1180 "< 12 years" "No" "No" 44.0769996643066 "No"
"306" 1184 "16+ years" "No" "No" 47.8800010681152 "No"
"307" 1186 "< 12 years" "No" "No" 10.5954999923706 "Yes"
"308" 1188 "12-15 years" "No" "No" 4.66499996185303 "Yes"
"309" 1191 "12-15 years" "No" "No" 50.6529998779297 "No"
"310" 1197 "12-15 years" "No" "No" 13.0290002822876 "No"
"311" 1206 "< 12 years" "No" "No" 57.1640014648438 "No"
"312" 1209 "12-15 years" "No" "No" 1.46050000190735 "Yes"
"313" 1210 "16+ years" "No" "No" 24.7469997406006 "No"
"314" 1212 "< 12 years" "No" "No" 51.0009994506836 "No"
"315" 1213 "16+ years" "No" "No" 14.1979999542236 "No"
"316" 1216 "16+ years" "No" "No" 44.382999420166 "No"
"317" 1218 "< 12 years" "No" "No" 36.2050018310547 "Yes"
"318" 1221 "12-15 years" "No" "No" 47.0009994506836 "No"
"319" 1223 "12-15 years" "No" "No" 50.9620018005371 "No"
"320" 1226 "12-15 years" "No" "No" 38.4199981689453 "No"
"321" 1230 "< 12 years" "No" "No" 23.4580001831055 "No"
"322" 1232 "< 12 years" "No" "No" 48.5589981079102 "No"
"323" 1236 "12-15 years" "No" "No" 10.9324998855591 "Yes"
"324" 1238 "< 12 years" "No" "No" 44.0629997253418 "No"
"325" 1241 "16+ years" "No" "No" 22.5790004730225 "No"
"326" 1253 "< 12 years" "No" "No" 1.25100004673004 "Yes"
"327" 1263 "< 12 years" "No" "No" 16.3090000152588 "No"
"328" 1273 "12-15 years" "No" "No" 2.83349990844727 "Yes"
"329" 1278 "12-15 years" "No" "No" 15.6709995269775 "No"
"330" 1282 "16+ years" "No" "No" 11.5869998931885 "No"
"331" 1291 "12-15 years" "No" "No" 6.3899998664856 "Yes"
"332" 1292 "12-15 years" "No" "No" 15.6715002059937 "Yes"
"333" 1295 "12-15 years" "Yes" "No" 17.7765007019043 "Yes"
"334" 1297 "< 12 years" "Yes" "Yes" 10.6354999542236 "Yes"
"335" 1300 "< 12 years" "Yes" "No" 54.5050010681152 "No"
"336" 1308 "16+ years" "Yes" "No" 14.6309995651245 "No"
"337" 1317 "12-15 years" "Yes" "No" 16.056999206543 "No"
"338" 1322 "< 12 years" "No" "No" 19.0009994506836 "No"
"339" 1325 "< 12 years" "No" "No" 19.0009994506836 "No"
"340" 1329 "12-15 years" "No" "No" 3.16499996185303 "No"
"341" 1332 "< 12 years" "No" "No" 24.6709995269775 "No"
"342" 1336 "16+ years" "No" "No" 1.10749995708466 "Yes"
"343" 1339 "< 12 years" "No" "No" 27.4990005493164 "Yes"
"344" 1345 "12-15 years" "No" "No" 17.253999710083 "Yes"
"345" 1357 "16+ years" "No" "No" 15.0030002593994 "No"
"346" 1360 "16+ years" "No" "No" 14.7679996490479 "No"
"347" 1362 "12-15 years" "No" "No" 8.68449974060059 "Yes"
"348" 1366 "< 12 years" "No" "No" 9.08549976348877 "Yes"
"349" 1367 "12-15 years" "No" "No" 6.02050018310547 "Yes"
"350" 1369 "12-15 years" "No" "No" 32.7060012817383 "No"
"351" 1372 "12-15 years" "No" "No" 32.7060012817383 "No"
"352" 1374 "12-15 years" "No" "No" 33.4980010986328 "No"
"353" 1376 "16+ years" "No" "No" 30.6529998779297 "Yes"
"354" 1379 "16+ years" "No" "No" 34.0400009155273 "No"
"355" 1381 "< 12 years" "No" "No" 55.3979988098145 "No"
"356" 1383 "< 12 years" "No" "No" 51.7070007324219 "No"
"357" 1385 "16+ years" "No" "No" 33.2070007324219 "No"
"358" 1386 "16+ years" "No" "No" 8.75800037384033 "No"
"359" 1388 "< 12 years" "No" "No" 50.0009994506836 "No"
"360" 1399 "16+ years" "No" "No" 18.9710006713867 "No"
"361" 1405 "16+ years" "No" "No" 21.8040008544922 "No"
"362" 1412 "16+ years" "No" "No" 5.53000020980835 "No"
"363" 1418 "< 12 years" "No" "No" 42.3409996032715 "No"
"364" 1425 "12-15 years" "No" "No" 10.1789999008179 "No"
"365" 1426 "12-15 years" "No" "No" 0.972000002861023 "No"
"366" 1434 "12-15 years" "No" "No" 0.972000002861023 "No"
"367" 1439 "< 12 years" "No" "No" 14.5649995803833 "No"
"368" 1470 "12-15 years" "No" "No" 13.6890001296997 "No"
"369" 1475 "12-15 years" "No" "No" 7.36800003051758 "No"
"370" 1477 "12-15 years" "No" "No" 25.0839996337891 "No"
"371" 1483 "12-15 years" "No" "No" 22.242000579834 "No"
"372" 1486 "12-15 years" "No" "No" 5.15250015258789 "Yes"
"373" 1489 "12-15 years" "No" "No" 18.8579998016357 "No"
"374" 1491 "< 12 years" "No" "No" 7.58150005340576 "Yes"
"375" 1493 "16+ years" "No" "No" 37.5004997253418 "Yes"
"376" 1495 "< 12 years" "No" "No" 53.4980010986328 "No"
"377" 1500 "12-15 years" "No" "No" 6.40700006484985 "No"
"378" 1506 "16+ years" "No" "No" 3.81100010871887 "No"
"379" 1509 "< 12 years" "No" "No" 9.56900024414062 "No"
"380" 1511 "16+ years" "No" "No" 40.1150016784668 "No"
"381" 1514 "12-15 years" "No" "No" 34.5820007324219 "No"
"382" 1519 "16+ years" "No" "No" 7.5460000038147 "No"
"383" 1520 "16+ years" "No" "No" 7.5460000038147 "No"
"384" 1522 "12-15 years" "No" "No" 58.0530014038086 "No"
"385" 1528 "12-15 years" "No" "No" 11.2720003128052 "No"
"386" 1534 "< 12 years" "No" "No" 60.2080001831055 "No"
"387" 1536 "< 12 years" "No" "No" 22.0009994506836 "No"
"388" 1539 "12-15 years" "No" "No" 21.1639995574951 "No"
"389" 1546 "16+ years" "No" "No" 20 "Yes"
"390" 1555 "12-15 years" "No" "No" 4.2519998550415 "Yes"
"391" 1589 "12-15 years" "No" "No" 11.1674995422363 "Yes"
"392" 1596 "16+ years" "No" "No" 10.2065000534058 "Yes"
"393" 1599 "16+ years" "No" "No" 50.3849983215332 "No"
"394" 1603 "< 12 years" "No" "Yes" 5.84800004959106 "No"
"395" 1609 "16+ years" "No" "No" 1.61249995231628 "Yes"
"396" 1611 "< 12 years" "No" "No" 35.3810005187988 "No"
"397" 1624 "12-15 years" "No" "No" 6.79500007629395 "No"
"398" 1632 "16+ years" "No" "No" 2.01200008392334 "No"
"399" 1634 "12-15 years" "No" "No" 4.08199977874756 "Yes"
"400" 1648 "12-15 years" "No" "No" 1.807000041008 "No"
"401" 1657 "12-15 years" "No" "No" 4.73899984359741 "Yes"
"402" 1661 "16+ years" "No" "No" 5.09000015258789 "No"
"403" 1668 "< 12 years" "No" "No" 6.75400018692017 "Yes"
"404" 1670 "< 12 years" "No" "No" 32.7690010070801 "No"
"405" 1685 "12-15 years" "No" "No" 25.7740001678467 "No"
"406" 1690 "12-15 years" "No" "No" 5.96600008010864 "No"
"407" 1693 "16+ years" "No" "No" 7.96600008010864 "Yes"
"408" 1695 "< 12 years" "No" "No" 52.6110000610352 "No"
"409" 1697 "16+ years" "No" "No" 54.1660003662109 "No"
"410" 1701 "12-15 years" "No" "No" 22.7649993896484 "No"
"411" 1704 "< 12 years" "No" "No" 5.00250005722046 "Yes"
"412" 1707 "12-15 years" "No" "No" 29.2290000915527 "No"
"413" 1709 "< 12 years" "No" "No" 49.125 "No"
"414" 1713 "12-15 years" "No" "No" 39.4879989624023 "No"
"415" 1715 "< 12 years" "No" "No" 45.0870018005371 "No"
"416" 1717 "12-15 years" "No" "No" 4.69250011444092 "Yes"
"417" 1720 "16+ years" "No" "No" 9.99899959564209 "Yes"
"418" 1724 "< 12 years" "No" "No" 2.33550000190735 "Yes"
"419" 1726 "12-15 years" "No" "No" 11.8800001144409 "No"
"420" 1736 "12-15 years" "No" "No" 8.6540002822876 "No"
"421" 1745 "< 12 years" "No" "No" 2.04200005531311 "No"
"422" 1749 "12-15 years" "No" "No" 20.0659999847412 "No"
"423" 1754 "12-15 years" "No" "No" 10.3599996566772 "No"
"424" 1758 "16+ years" "No" "No" 24.8325004577637 "Yes"
"425" 1760 "12-15 years" "No" "No" 27.4699993133545 "Yes"
