"grad"	"gpa"	"gmat"	"major"	"degree"	"sex"	"ethnic"
"393"	1	3.307	550	70	"M"	"M"	"W"
"394"	1	3.545	470	70	"M"	"F"	"N"
"395"	1	3.478	610	70	"M"	"M"	"W"
"396"	1	3.75	490	203	"M"	"M"	"N"
"397"	1	3.473	610	70	"M"	"M"	"W"
"398"	1	3.611	590	203	"M"	"M"	"N"
"399"	1	3.625	650	70	"M"	"M"	"W"
"400"	1	3.814	610	203	"P"	"M"	"W"
"401"	1	3.814	610	203	"M"	"M"	"W"
"402"	1	3.916	620	2	"M"	"M"	"W"
"403"	1	3.843	730	203	"P"	"M"	"W"
"404"	1	3.428	510	70	"M"	"M"	"W"
"405"	1	3.352	500	70	"M"	"M"	"W"
"406"	1	3.5	600	70	"M"	"F"	"W"
"407"	1	3.7	577	70	"M"	"M"	"W"
"408"	1	3.066	630	70	"M"	"M"	"W"
"409"	1	3.583	510	70	"M"	"M"	"W"
"410"	1	3.777	550	70	"M"	"M"	"W"
"411"	1	3.89	640	203	"P"	"F"	"W"
"412"	1	3.785	510	70	"M"	"M"	"W"
"413"	1	3.5	600	70	"M"	"M"	"W"
"414"	1	3.75	580	2	"M"	"F"	"W"
"415"	1	3.55	480	70	"M"	"F"	"W"
"416"	1	3.8	570	2	"M"	"F"	"W"
"417"	1	2.467	490	70	"M"	"M"	"W"
"418"	1	3.611	590	203	"P"	"M"	"N"
"419"	1	3.909	580	70	"M"	"F"	"N"
"420"	1	3.277	550	70	"M"	"M"	"N"
"421"	1	4	600	70	"M"	"F"	"N"
"422"	1	3.583	560	203	"M"	"F"	"W"
"423"	1	3.812	570	203	"P"	"M"	"W"
"424"	1	3.55	570	203	"P"	"M"	"W"
"425"	1	3.785	610	118	"M"	"M"	"W"
"426"	1	3.266	520	70	"M"	"M"	"W"
"427"	1	3.647	610	203	"P"	"M"	"W"
"428"	1	3.875	600	203	"P"	"F"	"W"
"429"	1	3.769	530	203	"M"	"F"	"W"
"430"	1	3.5	500	2	"M"	"M"	"W"
"431"	1	3.666	570	70	"M"	"F"	"W"
"432"	1	3.675	550	203	"P"	"M"	"W"
"433"	1	3.5	510	70	"M"	"M"	"W"
"434"	1	3.918	600	203	"P"	"M"	"W"
"435"	1	3.428	520	70	"M"	"M"	"W"
"436"	1	3.166	600	70	"M"	"M"	"W"
"437"	1	3.916	620	2	"M"	"M"	"W"
"438"	1	3.7	500	70	"M"	"M"	"W"
"439"	1	3.5	630	70	"M"	"F"	"W"
"440"	1	3.583	630	70	"M"	"M"	"W"
"441"	1	3.263	570	70	"M"	"F"	"W"
"442"	1	3.23	570	70	"M"	"M"	"W"
"443"	1	2.9	650	66	"M"	"M"	"W"
"444"	1	3.09	530	70	"M"	"M"	"W"
"445"	1	3.896	630	70	"M"	"M"	"W"
"446"	1	3.944	540	70	"M"	"M"	"W"
"447"	1	3.428	580	70	"M"	"M"	"W"
"448"	1	4	600	2	"M"	"M"	"W"
"449"	1	3.642	510	70	"M"	"F"	"W"
"450"	1	3.333	490	203	"M"	"M"	"H"
"451"	1	3.538	540	70	"M"	"M"	"W"
"452"	1	3.538	540	70	"M"	"M"	"W"
"453"	1	3.208	490	70	"M"	"M"	"N"
"454"	1	3.208	490	203	"M"	"M"	"N"
"455"	1	3.809	610	70	"M"	"F"	"W"
"456"	1	3.625	570	70	"M"	"M"	"W"
"457"	1	3.681	589	203	"P"	"M"	"W"
"458"	1	3.217	570	203	"M"	"M"	"W"
"459"	1	4	720	70	"M"	"M"	"W"
"460"	1	3.831	601	203	"M"	"M"	"W"
"461"	1	4	690	70	"M"	"M"	"W"
"462"	1	3.285	550	70	"M"	"M"	"W"
"463"	1	3.923	650	70	"M"	"M"	"W"
"464"	1	3.588	580	203	"P"	"M"	"W"
"465"	1	3.666	560	203	"P"	"M"	"N"
"466"	1	3.615	590	70	"M"	"F"	"W"
"467"	1	3.111	540	203	"M"	"M"	"N"
"468"	1	2.937	480	70	"M"	"M"	"B"
"469"	1	3.384	460	203	"M"	"M"	"H"
"470"	1	3.333	480	2	"M"	"M"	"W"
"471"	1	3.578	480	203	"M"	"M"	"W"
"472"	1	3.8	510	70	"M"	"F"	"W"
"473"	1	3.166	620	70	"M"	"F"	"W"
"474"	1	3.587	570	203	"P"	"M"	"W"
"475"	1	3.352	650	70	"M"	"M"	"W"
"476"	1	3.437	480	70	"M"	"M"	"W"
"477"	1	2.937	590	70	"M"	"M"	"W"
"478"	1	3.09	560	70	"M"	"M"	"W"
"479"	1	3.25	620	70	"M"	"M"	"W"
"480"	1	3.384	580	70	"M"	"M"	"W"
"481"	1	4	720	70	"M"	"F"	"W"
"482"	1	3.706	540	70	"M"	"F"	"W"
"483"	1	3.833	600	2	"M"	"F"	"W"
"484"	1	2.931	500	70	"M"	"M"	"W"
"485"	1	3.8	580	203	"P"	"M"	"W"
"486"	1	3.68	520	70	"M"	"M"	"N"
"487"	1	3.666	540	203	"M"	"F"	"N"
"488"	1	3.4	510	70	"M"	"F"	"N"
"489"	1	3.64	620	203	"M"	"F"	"N"
"490"	1	3.777	560	70	"M"	"F"	"N"
"491"	1	3.5	440	70	"M"	"F"	"N"
"492"	1	3.083	520	203	"M"	"M"	"N"
"493"	1	3.8	620	70	"M"	"F"	"N"
"494"	1	3.866	610	70	"M"	"F"	"N"
